Zone,Staker,Share
Umee,Polychain,11.08
Umee,stakefish,6.08
Umee,Hodlnauts 🚀,4.77
Umee,Deluminators,4.75
Umee,ValidationStation,4.01
Umee,Nodes.Guru,3.42
Tgrade,DSRV,1.76
Tgrade,Witval,1.76
Tgrade,Cosmostation,1.76
Tgrade,AnyValid,1.72
Tgrade,POSTHUMAN ꝏ DVS,1.71
Tgrade,StakeAngle,1.66
Tgrade,igval,1.65
Tgrade,jetlife,1.62
Tgrade,Baryon,1.59
Tgrade,kingnodes,1.59
Tgrade,ChainofSecrets.org,1.58
Tgrade,cyberG,1.58
Tgrade,🛹 Stake or Die! 🐝🐝🐝,1.57
Tgrade,🌐 KysenPool Tiger 🐯,1.56
Tgrade,B-Harvest,1.56
Tgrade,BDN,1.56
Tgrade,cryptech,1.56
Tgrade,Validator.run,1.55
Tgrade,NEOPLY,1.55
Tgrade,mele,1.55
Tgrade,bloqhub,1.55
Stride,NodeRun,11.57
Stride,Imperator.co,10.89
Stride,Cosmostation,9.98
Stride,Staking Facilities,9.34
Sommelier,Polychain,27.17
Sommelier,Chorus One,12.77
Sifchain,STAVR,0.08
Sifchain,mary,2.93
Sifchain,lisa,2.93
Sifchain,jenna,2.93
Sifchain,unizen,0.32
Sifchain,Dgtize Stake,4.55
Sifchain,BwareLabs,0.79
Sifchain,Wise Tech Solutions (Please Redelegate to another node),0.03
Sifchain,Provalidator,1.92
Sifchain,AutoStake (Formerly BlockNgine) 🛡️ Slash Protected,6.98
Sifchain,WeStaking,0.18
Sifchain,Cosmostation,1.30
Sifchain,SmartNodes,3.35
Sifchain,ushakov,0.26
Sifchain,Stakely.io,1.92
Sifchain,EarnX💗Stake,0.24
Sifchain,Valid Blocks,0.02
Sifchain,StakeTab,0.01
Sifchain,qf3l3k | ChainTools,0.19
Sifchain,dolphintwo,0.16
Sifchain,carbonZERO🌲,0.29
Sifchain,La_Cerdita,0.22
Sifchain,IBCNFTs.com 🌈,0.32
Sifchain,[ block pane ],0.79
Sifchain,Stigga,0.07
Sifchain,AG_Node_Sif,0.09
Sifchain,blockscape,0.02
Sifchain,alice,2.93
Shentu,Binance Node,18.96
Shentu,InfStones,13.13
Shentu,Thousand Sunny,7.95
Sentinel,GalaxyDigital,7.51
Sentinel,Cosmostation,5.18
Sentinel,SOLAR Validator,4.73
Sentinel,NorthCap,3.62
Sentinel,AutoStake (Formerly BlockNgine) 🛡️ Slash Protected,2.85
Sentinel,Cosmic Validator,2.71
Sentinel,BlueFrenDAO,2.63
Sentinel,StakeLab,2.21
